"det_id15","strasse","richtung","position","spur","lon_wgs84","lat_wgs84"
"100101010030782","Torstraße","Ost","zwischen Kleine Hamburger Straße und Bergstraße, erster LM nach Kleine Hamburger Straße, in Höhe Haus Nr. 178","HF_2vR","13.394072","52.528565"
"100101010071909","Torstraße","Südost","zwischen Gormannstraße und Alte Schönhauser Straße","HF_R","13.407322","52.529035"
"100101010072010","Torstraße","Südost","zwischen Gormannstraße und Alte Schönhauser Straße","HF_2vR","13.407322","52.529035"
"100101010073121","Torstraße","Nordwest","zwischen Straßburger Straße und Schönhauser Allee","HF_R","13.410851","52.528648"
"100101010073222","Torstraße","Nordwest","zwischen Straßburger Straße und Schönhauser Allee","HF_2vR","13.410851","52.528648"
"100101010021082","Treskowallee","Süd","zwischen Traberweg und Rummelsburger Straße, in Höhe Haus Nr. 160","HF_R","13.521929","52.475723"
"100101010021183","Treskowallee","Süd","zwischen Traberweg und Rummelsburger Straße, in Höhe Haus Nr. 160","HF_2vR","13.521929","52.475723"
"100101010030883","Unter den Linden","West","zwischen Am Lsutgarten und Schloßbrücke, in Höhe Berliner Dom","HF_R","13.400746","52.518225"
"100101010030984","Unter den Linden","West","zwischen Am Lsutgarten und Schloßbrücke, in Höhe Berliner Dom","HF_2vR","13.400746","52.518225"
"100101010031085","Unter den Linden","Ost","zwischen Schloßbrücke und Am Lustgarten, in Höhe Berliner Dom","HF_R","13.400664","52.518116"
"100101010031186","Unter den Linden","Ost","zwischen Schloßbrücke und Am Lustgarten, in Höhe Berliner Dom","HF_2vR","13.400664","52.518116"
"100101010053620","Von-der-Heydt-Straße","West","zwischen Köbisstraße und Klingelhöferstraße, LM 9 hinter Köbisstraße","HF_R","13.355402","52.507114"
"100101010053721","Von-der-Heydt-Straße","West","zwischen Köbisstraße und Klingelhöferstraße, LM 9 hinter Köbisstraße","HF_2vR","13.355402","52.507114"
"100101010087265","Waltersdorfer Chaussee","Süd","zwischen Friedenstraße und Altglienicker Chaussee","HF_R","13.516835","52.398253"
"100101010087366","Waltersdorfer Chaussee","Süd","zwischen Friedenstraße und Altglienicker Chaussee","HF_2vR","13.516835","52.398253"
"100101010028257","Warschauer Straße","Süd","zwischen Warschauer Brücke und Mühlenstraße, in Höhe Haus Nr. 39/40","HF_R","13.448213","52.504636"
"100101010028358","Warschauer Straße","Süd","zwischen Warschauer Brücke und Mühlenstraße, in Höhe Haus Nr. 39/40","HF_2vR","13.448213","52.504636"
"100101010075343","Waterloo-Ufer","Ost","zwischen Blücherplatz und Zossener Straße","HF","13.393483","52.497392"
"100101010075444","Waterloo-Ufer","Ost","zwischen Blücherplatz und Zossener Straße","HF_2vR","13.393483","52.497392"
"100101010075545","Waterloo-Ufer","Ost","zwischen Blücherplatz und Zossener Straße","HF_3vR","13.393483","52.497392"
"100101010038664","Weißenseer Weg","Süd","zwischen Hohenschönhauserstraße und Marquardtstraße, in Höhe Haus Nr. 91","HF_R","13.474465","52.534863"
"100101010038765","Weißenseer Weg","Süd","zwischen Hohenschönhauserstraße und Marquardtstraße, in Höhe Haus Nr. 91","HF_2vR","13.474465","52.534863"
"100101010063219","Wilhelmstraße","Südost","zwischen Leipziger Straße und Niederkirchnerstraße, ca. 180 m hinter Leipziger Straße, LM nach Hofeingang Finanzministerium","HF_R","13.384800","52.508740"
"100101010063320","Wilhelmstraße","Nordwest","zwischen Zimmerstraße und Leipziger Straße, ca. 180 m nach Leipziger Straße, LM nach Hofeingang Finanzministerium","HF_R","13.384894","52.508673"
"100101010079686","Wisbyer Straße","West","zwischen Baumbachstraße und Trelleborger Straße","HF_R","13.419651","52.553403"
"100101010079787","Wisbyer Straße","West","zwischen Baumbachstraße und Trelleborger Straße","HF_2vR","13.419651","52.553403"
"100101010091006","Zinnowitzer Straße","West","Zinnowitzer Straße","HF_R","13.383638","52.531845"
"100101010091107","Zinnowitzer Straße","Ost","Zinnowitzer Straße","HF_R","13.383312","52.531711"
"100101010025934",NULL,NULL,NULL,NULL,NULL,NULL
"100101010026035",NULL,NULL,NULL,NULL,NULL,NULL
"100101010026540",NULL,NULL,NULL,NULL,NULL,NULL
"100101010026641",NULL,NULL,NULL,NULL,NULL,NULL
"100101010083023",NULL,NULL,NULL,NULL,NULL,NULL
"100101010083124",NULL,NULL,NULL,NULL,NULL,NULL
